,Municipio,Nin_kg
0,Rosario,1059.155638888889
1,Concordia,421.60305555555556
2,Mazatlan,2033.0209000000002
3,San Ignacio,1156.5415555555555
4,Elota,14004.064794444444
5,Culiacan,75646.09418222222
6,Navolato,59906.81969222223
7,Angostura,34524.95581666667
8,Guasave,99800.47866666666
9,Ahome,86269.81515888889
10,Huatabampo,7698.265752777778
11,Etchojoa,12597.116446666667
12,Benito Juarez,6762.276444444445
13,Cajeme,21838.11947777778
14,Bacum,7228.163522222222
15,San Ignacio Rio Muerto,6298.519916666667
16,Empalme,739.8190944444444
17,Guaymas,5208.332444444444
18,Hermosillo,7172.657677777778
19,Pitiquito,141.25816666666665
20,Caborca,2019.7854444444445
21,San Luis Rio Colorado,6034.762032777778
22,Mexicali,30672.375488888887
23,Ensenada,1447.7230055555556
24,Mulege,348.89473333333336
25,Loreto,8.991111111111111
26,La Paz,423.6334611111111
27,Los Cabos,190.73211111111112
